GAME_ID,GAME_DATE,SEASON,MATCHUP,team_rows
22500001,2025-10-21,2025-26,HOU @ OKC,0
22500002,2025-10-21,2025-26,GSW @ LAL,0
22500003,2025-10-22,2025-26,CLE @ NYK,0
22500004,2025-10-22,2025-26,DAL vs. SAS,0
22500080,2025-10-22,2025-26,CHA vs. BKN,0
22500081,2025-10-22,2025-26,ORL vs. MIA,0
22500082,2025-10-22,2025-26,ATL vs. TOR,0
22500083,2025-10-22,2025-26,PHI @ BOS,0
22500084,2025-10-22,2025-26,CHI vs. DET,0
22500085,2025-10-22,2025-26,MEM vs. NOP,0
22500086,2025-10-22,2025-26,WAS @ MIL,0
22500087,2025-10-22,2025-26,LAC @ UTA,0
22500088,2025-10-22,2025-26,PHX vs. SAC,0
22500089,2025-10-22,2025-26,POR vs. MIN,0
22500005,2025-10-23,2025-26,OKC @ IND,0
22500006,2025-10-23,2025-26,DEN @ GSW,0
22500018,2025-10-24,2025-26,NYK vs. BOS,0
22500019,2025-10-24,2025-26,LAL vs. MIN,0
22500090,2025-10-24,2025-26,ORL vs. ATL,0
22500091,2025-10-24,2025-26,CLE @ BKN,0
22500092,2025-10-24,2025-26,TOR vs. MIL,0
22500093,2025-10-24,2025-26,HOU vs. DET,0
22500094,2025-10-24,2025-26,MEM vs. MIA,0
22500095,2025-10-24,2025-26,NOP vs. SAS,0
22500096,2025-10-24,2025-26,DAL vs. WAS,0
22500097,2025-10-24,2025-26,POR vs. GSW,0
22500098,2025-10-24,2025-26,UTA @ SAC,0
22500099,2025-10-24,2025-26,LAC vs. PHX,0
22500100,2025-10-25,2025-26,CHI @ ORL,0
22500101,2025-10-25,2025-26,OKC @ ATL,0
22500102,2025-10-25,2025-26,CHA @ PHI,0
22500103,2025-10-25,2025-26,IND @ MEM,0
22500104,2025-10-25,2025-26,DEN vs. PHX,0
22500105,2025-10-26,2025-26,BKN @ SAS,0
22500106,2025-10-26,2025-26,DET vs. BOS,0
22500107,2025-10-26,2025-26,MIL @ CLE,0
22500108,2025-10-26,2025-26,NYK @ MIA,0
22500109,2025-10-26,2025-26,CHA @ WAS,0
22500110,2025-10-26,2025-26,IND @ MIN,0
22500111,2025-10-26,2025-26,TOR @ DAL,0
22500112,2025-10-26,2025-26,POR @ LAC,0
22500113,2025-10-26,2025-26,SAC vs. LAL,0
22500007,2025-10-27,2025-26,CLE @ DET,0
22500008,2025-10-27,2025-26,MIN vs. DEN,0
22500114,2025-10-27,2025-26,PHI vs. ORL,0
22500115,2025-10-27,2025-26,CHI vs. ATL,0
22500116,2025-10-27,2025-26,HOU vs. BKN,0
22500117,2025-10-27,2025-26,BOS @ NOP,0
22500118,2025-10-27,2025-26,TOR @ SAS,0
22500119,2025-10-27,2025-26,DAL vs. OKC,0
22500120,2025-10-27,2025-26,PHX @ UTA,0
22500121,2025-10-27,2025-26,GSW vs. MEM,0
22500122,2025-10-27,2025-26,POR @ LAL,0
22500123,2025-10-28,2025-26,WAS vs. PHI,0
22500124,2025-10-28,2025-26,MIA vs. CHA,0
22500125,2025-10-28,2025-26,NYK @ MIL,0
22500126,2025-10-28,2025-26,SAC @ OKC,0
22500127,2025-10-28,2025-26,GSW vs. LAC,0
22500128,2025-10-29,2025-26,BOS vs. CLE,0
22500129,2025-10-29,2025-26,DET vs. ORL,0
22500130,2025-10-29,2025-26,ATL @ BKN,0
22500131,2025-10-29,2025-26,TOR vs. HOU,0
22500132,2025-10-29,2025-26,SAC @ CHI,0
22500133,2025-10-29,2025-26,DAL vs. IND,0
22500134,2025-10-29,2025-26,DEN vs. NOP,0
22500135,2025-10-29,2025-26,UTA vs. POR,0
22500136,2025-10-29,2025-26,MIN vs. LAL,0
22500137,2025-10-29,2025-26,PHX vs. MEM,0
22500138,2025-10-30,2025-26,CHA vs. ORL,0
22500139,2025-10-30,2025-26,MIL vs. GSW,0
22500140,2025-10-30,2025-26,OKC vs. WAS,0
22500141,2025-10-30,2025-26,MIA @ SAS,0
22500020,2025-10-31,2025-26,ATL @ IND,0
22500021,2025-10-31,2025-26,BOS @ PHI,0
22500022,2025-10-31,2025-26,TOR @ CLE,0
22500023,2025-10-31,2025-26,NYK @ CHI,0
22500024,2025-10-31,2025-26,LAL @ MEM,0
22500025,2025-10-31,2025-26,UTA @ PHX,0
22500026,2025-10-31,2025-26,DEN @ POR,0
22500027,2025-10-31,2025-26,LAC vs. NOP,0
22500142,2025-11-01,2025-26,MIL vs. SAC,0
22500143,2025-11-01,2025-26,MIN @ CHA,0
22500144,2025-11-01,2025-26,IND vs. GSW,0
22500145,2025-11-01,2025-26,WAS vs. ORL,0
22500146,2025-11-01,2025-26,BOS vs. HOU,0
22500147,2025-11-01,2025-26,DAL @ DET,0
22500148,2025-11-02,2025-26,NOP @ OKC,0
22500149,2025-11-02,2025-26,PHI @ BKN,0
22500150,2025-11-02,2025-26,UTA @ CHA,0
22500151,2025-11-02,2025-26,CLE vs. ATL,0
22500152,2025-11-02,2025-26,MEM @ TOR,0
22500153,2025-11-02,2025-26,NYK vs. CHI,0
22500154,2025-11-02,2025-26,PHX vs. SAS,0
22500155,2025-11-02,2025-26,LAL vs. MIA,0
22500156,2025-11-03,2025-26,BKN vs. MIN,0
22500157,2025-11-03,2025-26,MIL @ IND,0
22500158,2025-11-03,2025-26,UTA @ BOS,0
22500159,2025-11-03,2025-26,NYK vs. WAS,0
22500160,2025-11-03,2025-26,HOU vs. DAL,0
22500161,2025-11-03,2025-26,DET @ MEM,0
22500162,2025-11-03,2025-26,DEN vs. SAC,0
22500163,2025-11-03,2025-26,LAL @ POR,0
22500164,2025-11-03,2025-26,LAC vs. MIA,0
22500165,2025-11-04,2025-26,TOR vs. MIL,0
22500166,2025-11-04,2025-26,ATL vs. ORL,0
22500167,2025-11-04,2025-26,CHI vs. PHI,0
22500168,2025-11-04,2025-26,NOP vs. CHA,0
22500169,2025-11-04,2025-26,GSW vs. PHX,0
22500170,2025-11-04,2025-26,OKC @ LAC,0
22500171,2025-11-05,2025-26,CLE vs. PHI,0
22500172,2025-11-05,2025-26,DET vs. UTA,0
22500173,2025-11-05,2025-26,BKN @ IND,0
22500174,2025-11-05,2025-26,BOS vs. WAS,0
22500175,2025-11-05,2025-26,NYK vs. MIN,0
22500176,2025-11-05,2025-26,MEM vs. HOU,0
22500177,2025-11-05,2025-26,DAL vs. NOP,0
22500178,2025-11-05,2025-26,MIA @ DEN,0
22500179,2025-11-05,2025-26,LAL vs. SAS,0
22500180,2025-11-05,2025-26,POR vs. OKC,0
22500181,2025-11-05,2025-26,SAC vs. GSW,0
22500182,2025-11-06,2025-26,LAC @ PHX,0
22500028,2025-11-07,2025-26,BOS @ ORL,0
22500029,2025-11-07,2025-26,WAS vs. CLE,0
22500030,2025-11-07,2025-26,TOR @ ATL,0
22500031,2025-11-07,2025-26,DET @ BKN,0
22500032,2025-11-07,2025-26,SAS vs. HOU,0
22500033,2025-11-07,2025-26,CHA @ MIA,0
22500034,2025-11-07,2025-26,MEM vs. DAL,0
22500035,2025-11-07,2025-26,CHI @ MIL,0
22500036,2025-11-07,2025-26,UTA @ MIN,0
22500037,2025-11-07,2025-26,DEN vs. GSW,0
22500038,2025-11-07,2025-26,OKC @ SAC,0
22500183,2025-11-08,2025-26,WAS vs. DAL,0
22500184,2025-11-08,2025-26,PHI vs. TOR,0
22500185,2025-11-08,2025-26,ATL vs. LAL,0
22500186,2025-11-08,2025-26,CLE vs. CHI,0
22500187,2025-11-08,2025-26,POR @ MIA,0
22500188,2025-11-08,2025-26,NOP @ SAS,0
